	docid	citation
25	A-TWO-PHASE-INTERGROWTH-IN-GENTHELVITE-FROM-MONT.html	Sytle M. Antao, Ishmael Hassan; A TWO-PHASE INTERGROWTH IN GENTHELVITE FROM MONT SAINT-HILAIRE, QUEBEC. The Canadian Mineralogist 2010;; 48 (5): 1217–1223. doi: https://doi.org/10.3749/canmin.48.5.1217
26	A-TYPE-GRANITIC-ROCKS-IN-POST-COLLISIONAL-SETTINGS.html	Lauro V.S. Nardi, Maria de Fátima Bitencourt; A-TYPE GRANITIC ROCKS IN POST-COLLISIONAL SETTINGS IN SOUTHERNMOST BRAZIL: THEIR CLASSIFICATION AND RELATIONSHIP WITH TECTONICS AND MAGMATIC SERIES. The Canadian Mineralogist 2009;; 47 (6): 1493–1503. doi: https://doi.org/10.3749/canmin.47.6.1493
27	ABUNDANCE-AND-SPECIATION-OF-GOLD-IN-MASSIVE.html	Sean H. McClenaghan, David R. Lentz, Louis J. Cabri; ABUNDANCE AND SPECIATION OF GOLD IN MASSIVE SULFIDES OF THE BATHURST MINING CAMP, NEW BRUNSWICK, CANADA. The Canadian Mineralogist 2004;; 42 (3): 851–871. doi: https://doi.org/10.2113/gscanmin.42.3.851
28	ACICULAR-SPHALERITE-ENRICHED-IN-Ag-Sb-AND-Cu.html	Georges Beaudoin; ACICULAR SPHALERITE ENRICHED IN Ag, Sb, AND Cu EMBEDDED WITHIN COLOR-BANDED SPHALERITE FROM THE KOKANEE RANGE, BRITISH COLUMBIA, CANADA. The Canadian Mineralogist 2000;; 38 (6): 1387–1398. doi: https://doi.org/10.2113/gscanmin.38.6.1387
29	ADAMSITE-Y-A-NEW-SODIUM-YTTRIUM-CARBONATE-MINERAL.html	Joel D. Grice, Robert A. Gault, Andrew C. Roberts, Mark A. Cooper; ADAMSITE-(Y), A NEW SODIUM–YTTRIUM CARBONATE MINERAL SPECIES FROM MONT SAINT-HILAIRE, QUEBEC. The Canadian Mineralogist 2000;; 38 (6): 1457–1466. doi: https://doi.org/10.2113/gscanmin.38.6.1457
30	ADRANOSITE-NH4-4NaAl2-SO4-4Cl-OH-2-A-NEW-AMMONIUM.html	Francesco Demartin, Carlo Maria Gramaccioli, Italo Campostrini; ADRANOSITE, (NH4)4NaAl2(SO4)4Cl(OH)2, A NEW AMMONIUM SULFATE CHLORIDE FROM LA FOSSA CRATER, VULCANO, AEOLIAN ISLANDS, ITALY. The Canadian Mineralogist 2010;; 48 (2): 315–321. doi: https://doi.org/10.3749/canmin.48.2.315
31	AGE-AND-SIGNIFICANCE-OF-RUBY-BEARING-MARBLE-FROM.html	Virginie Garnier, Daniel Ohnenstetter, Gaston Giuliani, Henri Maluski, Etienne Deloule, Trinh Phan Trong, Long Pham Van, Vinh Hoàng Quang; AGE AND SIGNIFICANCE OF RUBY-BEARING MARBLE FROM THE RED RIVER SHEAR ZONE, NORTHERN VIETNAM. The Canadian Mineralogist 2005;; 43 (4): 1315–1329. doi: https://doi.org/10.2113/gscanmin.43.4.1315
32	AGES-OF-CRATONIC-DIAMOND-AND-LITHOSPHERE-EVOLUTION.html	Herwart H. Helmstaedt, John J. Gurney, Stephen H. Richardson; AGES OF CRATONIC DIAMOND AND LITHOSPHERE EVOLUTION: CONSTRAINTS ON PRECAMBRIAN TECTONICS AND DIAMOND EXPLORATION. The Canadian Mineralogist 2010;; 48 (6): 1385–1408. doi: https://doi.org/10.3749/canmin.48.5.1385
33	ALBITIZATION-OF-GRANITIC-ROCKS-THE-MECHANISM-OF.html	Ane K. Engvik, Andrew Putnis, John D. Fitz Gerald, Håkon Austrheim; ALBITIZATION OF GRANITIC ROCKS: THE MECHANISM OF REPLACEMENT OF OLIGOCLASE BY ALBITE. The Canadian Mineralogist 2008;; 46 (6): 1401–1415. doi: https://doi.org/10.3749/canmin.46.6.1401
34	ALFLARSENITE-STRUCTURE-AND-RELATIONSHIP-TO-OTHER.html	Joel D. Grice, Gunnar Raade, Mark A. Cooper; ALFLARSENITE: STRUCTURE AND RELATIONSHIP TO OTHER Be–Si AND ZEOLITE FRAMEWORK STRUCTURES. The Canadian Mineralogist 2010;; 48 (2): 255–266. doi: https://doi.org/10.3749/canmin.48.2.255
