	docid	citation
34	e02-050.html	Tobias HD Payenberg, Dennis R Braman, Donald W Davis, and Andrew D Miall. 2002. Litho- and chronostratigraphic relationships of the SantonianCampanian Milk River Formation in southern Alberta and Eagle Formation in Montana utilising stratigraphy, UPb geochronology, and palynology. Canadian Journal of Earth Sciences.39(10): 1553-1577. https://doi.org/10.1139/e02-050
35	e81-126.html	E. D. Ongley, M. C. Bynoe, and J. B. Percival. 1981. Physical and geochemical characteristics of suspended solids, Wilton Creek, Ontario. Canadian Journal of Earth Sciences.18(8): 1365-1379. https://doi.org/10.1139/e81-126
36	cjes-2019-0036.html	Gregory R. Brooks and André J.-M. Pugin. 2020. Assessment of a seismo-neotectonic origin for the New Liskeard–Thornloe scarp, Timiskaming graben, northeastern Ontario. Canadian Journal of Earth Sciences.57(2): 267-274. https://doi.org/10.1139/cjes-2019-0036
37	cjes-2014-0133.html	Xiao-Chun Wu and Donald B. Brinkman. 2015. A new crocodylian (Eusuchia) from the uppermost Cretaceous of Alberta, Canada. Canadian Journal of Earth Sciences.52(8): 590-607. https://doi.org/10.1139/cjes-2014-0133
38	E10-057.html	Darren H.TankeD.H. Tanke and Philip J.CurrieP.J. Currie. 2010. A history of Albertosaurus discoveries in Alberta, Canada. Canadian Journal of Earth Sciences.47(9): 1197-1211. https://doi.org/10.1139/E10-057
39	cjes-2013-0142.html	CalvertAndrew J. and TalingaDraga. 2014. Deep seismic reflection constraints on Paleogene crustal extension in the south-central Intermontane belt, British Columbia. Canadian Journal of Earth Sciences.51(4): 393-406. https://doi.org/10.1139/cjes-2013-0142
40	e06-099.html	D GF Long. 2007. Tempestite frequency curves: a key to Late Ordovician and Early Silurian subsidence, sea-level change, and orbital forcing in the Anticosti foreland basin, Quebec, Canada. Canadian Journal of Earth Sciences.44(3): 413-431. https://doi.org/10.1139/e06-099
41	e01-032.html	Derek J Thorkelson, James K Mortensen, Robert A Creaser, Garry J Davidson, and J Grant Abbott. 2001. Early Proterozoic magmatism in Yukon, Canada: constraints on the evolution of northwestern Laurentia. Canadian Journal of Earth Sciences.38(10): 1479-1494. https://doi.org/10.1139/e01-032
42	e01-078.html	J Howard Hutchison and C R Harington. 2002. A peculiar new fossil shrew (Lipotyphla, Soricidae) from the High Arctic of Canada. Canadian Journal of Earth Sciences.39(4): 439-443. https://doi.org/10.1139/e01-078
43	e93-084.html	C. S. Churcher, A. V. Morgan, and L. D. Carter. 1993. Arctodus simus from the Alaskan Arctic Slope. Canadian Journal of Earth Sciences.30(5): 1007-1013. https://doi.org/10.1139/e93-084
44	cjes-2016-0159.html	Hans-Dieter Sues. 2017. Arctosaurus osborni, a Late Triassic archosauromorph reptile from the Canadian Arctic Archipelago. Canadian Journal of Earth Sciences.54(2): 129-133. https://doi.org/10.1139/cjes-2016-0159
45	cjes-2014-0028.html	MallonJordan C., HolmesRobert, AndersonJason S., FarkeAndrew A., and EvansDavid C.. 2014. New information on the rare horned dinosaur Arrhinoceratops brachyops (Ornithischia: Ceratopsidae) from the Upper Cretaceous of Alberta, Canada. Canadian Journal of Earth Sciences.51(6): 618-634. https://doi.org/10.1139/cjes-2014-0028
46	cjes-2012-0164.html	WilliamsonMarie-Claude, JohnsonCatherine L., and SylvesterPaul J.. 2013. Introduction to Special Issue of Canadian Journal of Earth Sciences: Canadian contributions to planetary geoscience. Canadian Journal of Earth Sciences.50(1): 1-3. https://doi.org/10.1139/cjes-2012-0164
47	e99-105.html	P Neumayr, S G Hagemann, and J -F Couture. 2000. Structural setting, textures, and timing of hydrothermal vein systems in the Val d'Or camp, Abitibi, Canada: implications for the evolution of transcrustal, second- and third-order fault zones and gold mineralization. Canadian Journal of Earth Sciences.37(1): 95-114. https://doi.org/10.1139/e99-105
