	score
2019PA100054	0.7661946614583334
2020UPASS083	0.8519965277777778
2020UPASS059	0.71806640625
s255963	0.7618001302083334
2011PA030078	0.6714913504464286
2018LORR0017	0.6988067626953125
2018SACLS342	0.79986572265625
2011PA030114	0.4712931315104167
2017LYSEI113	0.7098388671875
2015GREAL022	0.8681640625
2016PA066526	0.7844401041666667
2017SACLS027	0.837493896484375
2018AIXM0634	0.81170654296875
2017TOU30297	0.7521784855769231
2012PAUU3052	0.74761962890625
1997STR20079	0.7136452414772727
2013GRENS013	0.8101981026785714
2018AIXM0354	0.7962782118055556
2019SACLS060	0.8029972956730769
2019LYSEN081	0.6962890625
s253279	0.76708984375
2019SACLT048	0.7041590073529411
2019USPCC026	0.7851019965277778
2013PA030053	0.78681640625
2018SACLS299	0.8029296875
2016LYSEI044	0.86767578125
2020SORUS024	0.7755408653846154
2018PESC0069	0.793408203125
2014ECDL0033	0.5857747395833334
2009BESA1014	0.6533900669642857
2019SACLX051	0.3961669921875
2020UPASN023	0.65693359375
2012LYO20051	0.399017333984375
s199212	0.8665726273148148
2019TOU30132	0.8214518229166666
2018GREAL012	0.76474609375
2006MARN0282	0.585882568359375
2018PA01E058	0.850341796875
2001LYO20001	0.4941218449519231
2015TOU20132	0.790234375
2020COAZ4043	0.72705078125
2013PA030138	0.5849609375
2017USPCC149	0.6906307444852942
2017USPCF015	0.6118821364182693
2016LYSE1173	0.6780561967329546
2020GRALT057	0.71331787109375
2019SACLC027	0.8567940848214286
2018SACLC038	0.6086561414930556
2018REN1S090	0.7350358634159483
2017TOU30233	0.7935655381944444
2017LORIS448	0.7537434895833334
2012BESA1011	0.7742513020833334
2008NAN10099	0.74912109375
2017TOU30164	0.7633713942307693
2017PESC0124	0.4351060655381944
2019GREAS030	0.6422119140625
s239747	0.860546875
2019AIXM0202	0.6854717548076923
2018GREAM073	0.7669122869318182
2017LORR0212	0.798095703125
2018LYSEI091	0.7311256045386905
2016PSLEE047	0.6606820913461539
2016SACLC058	0.7119059244791667
2019SACLS085	0.7926897321428571
2019TOU30149	0.6461669921875
2016PA066517	0.8018663194444444
s204981	0.7738037109375
2017MONTS021	0.6827654157366071
2015LORR0172	0.85048828125
2020LYSEM021	0.5410563151041666
2009INAL0004	0.7062174479166666
2018SACLT003	0.6805555555555556
2014REN1S009	0.6981026785714286
2019UBFCH042	0.8375418526785714
2010PA030049	0.5126708984375
2020LORIS555	0.739453125
2020UBFCD015	0.6326810396634616
2020LYSEI061	0.4240315755208333
2018AIXM0158	0.7615792410714286
2018SACLT009	0.7886962890625
2019AIXM0463	0.8516376201923077
2012PA05H027	0.7587890625
2001PA112258	0.7454279119318182
2019TOU30201	0.7482688210227273
2017TOU20076	0.7050083705357143
2014BORD0444	0.8056265024038461
2014GRENL007	0.740771484375
2020MONTS035	0.7651412398726852
2017LORIS437	0.65107421875
2016AZUR4055	0.7292258522727273
2016ISAR0019	0.7113385881696429
1998PA040003	0.8419363839285714
2009PA112096	0.5917236328125
s150745	0.25244140625
2018LARE0004	0.6051119290865384
2015USPCD084	0.7532958984375
2019NORMC229	0.8605143229166666
2018BORD0087	0.8373135653409091
2017SACLC012	0.6525336371527778
2017REIMS012	0.6874593098958334
s241241	0.39849853515625
2017NANT4020	0.7144673665364584
2019NSARG017	0.8405490451388888
2017PSLED002	0.755889892578125
2020NANT4009	0.5704752604166666
2019PSLEH002	0.6845993768601191
2015GREAL024	0.7655029296875
s239428	0.7224469866071429
2020UPASS134	0.6026418585526315
2017USPCD021	0.8197817595108695
2020GRALL025	0.8343424479166667
s246953	0.7996419270833334
2013BELF0217	0.7848307291666666
s208771	0.4036114032451923
2006EMSE0017	0.74658203125
2018MONTS046	0.8053850446428571
2014BORD0146	0.25970052083333334
2018TELE0002	0.84515380859375
2017AZUR4041	0.7888405539772727
2010TOU20044	0.7730994591346154
2015GREAT143	0.2152386833639706
s259675	0.7125651041666666
2017AIXM0556	0.7931857638888888
2013PA112225	0.681732177734375
2010PA132005	0.71746826171875
2017NANT2059	0.7523716517857143
2019UNIP7040	0.5511372884114584
2012MON30070	0.738525390625
2012GRENM059	0.83076171875
2019ESEC0008	0.7716471354166666
2019AZUR4063	0.8454811789772727
2011BOR21899	0.7183159722222222
2018TELE0018	0.7194417317708334
2020UPASS028	0.7861328125
2016AZUR4090	0.7645596590909091
2008PEST0252	0.8104771205357143
2013PA112059	0.6497105189732143
2011PA112249	0.5910832331730769
2017PA066139	0.6746049360795454
2017PSLEE055	0.78875732421875
s214417	0.83349609375
2016SACLS228	0.8348106971153846
2016LORR0060	0.787139892578125
2016BOR30026	0.802978515625
2020LYSEN024	0.7316650390625
2015PA100058	0.7235576923076923
2020LYSE1005	0.7250213623046875
2018LAROS013	0.6710728236607143
2018SACLC095	0.7937282986111112
2018USPCD051	0.33828500600961536
2012PA030045	0.8249162946428571
2016TOU30034	0.7393611027644231
2012PA132044	0.7736002604166666
2017AZUR4059	0.55833740234375
2020CYUN1067	0.824127197265625
2017LIL30045	0.3113680752840909
2018GREAA026	0.6842854817708334
2020MONTS068	0.7819010416666666
2008TOU30136	0.845245361328125
